,Category,Subcategory,Subsubcategory,Producto,Cantidad,Precio
0,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,"Aceite de oliva 0,4º Hacendado",Garrafa 5 L,19.2
1,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,"Aceite de oliva 0,4º Hacendado",Botella 1 L,3.9
2,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen extra Hacendado,Garrafa 3 L,12.7
3,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen extra Hacendado,Botella 1 L,4.25
4,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen extra Hacendado Gran Selección,Botella 750 ml,4.5
5,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva 1º Hacendado,Garrafa 5 L,19.2
6,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva 1º Hacendado,Botella 1 L,3.9
7,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen Hacendado,Garrafa 3 L,12.45
8,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen Hacendado,Botella 1 L,4.2
9,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen extra Hacendado,Spray 200 ml,2.15
10,"Aceite, especias y salsas","Aceite, vinagre y sal",Aceite de oliva,Aceite de oliva virgen extra Picual Casa Juncal,Botella 500 ml,4.1
11,"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol, semillas y maíz","Aceite de girasol refinado 0,2º Hacendado",Garrafa 5 L,11.75
12,"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol, semillas y maíz","Aceite de girasol refinado 0,2º Hacendado",Botella 1 L,2.4
13,"Aceite, especias y salsas","Aceite, vinagre y sal","Aceite de girasol, semillas y maíz",Aceite de coco virgen Hacendado,Bote 450 ml,4.5
14,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Vinagre de vino blanco Hacendado,Botella 1 L,0.55
15,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Vinagre balsámico de Módena Hacendado,Botella 250 ml,1.1
16,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Vinagre de manzana Hacendado,Botella 1 L,0.62
17,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Limón exprimido Hacendado,Botella 280 ml,0.95
18,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Crema de vinagre balsámico de Módena Hacendado,Botella 250 g,1.6
19,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Vinagre de Jerez reserva Hacendado,Botella 250 ml,1.6
20,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Bebida aromatizada a base de vino para cocinar Abuela Carola,Botella 750 ml,2.0
21,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Reducción de vinagre Pedro Ximénez Hacendado,Botella 300 g,2.15
22,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,"Aceite de oliva, vinagre y sal Merry",15 monodosis x 10 ml,2.0
23,"Aceite, especias y salsas","Aceite, vinagre y sal",Vinagre y otros aderezos,Crema de vinagre balsámico de manzana Hacendado,Botella 250 g,2.3
24,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal fina Hacendado,Paquete 1 kg,0.25
25,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal fina de mesa Hacendado,Bote 250 g,0.4
26,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal yodada fina Hacendado,Paquete 1 kg,0.25
27,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal gruesa Hacendado,Paquete 1 kg,0.25
28,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Bicarbonato sódico Hacendado,Paquete 1 kg,1.35
29,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Bicarbonato sódico Hacendado,Bote 300 g,1.0
30,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal marina en escamas Polasal,Bote 125 g,1.95
31,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal gruesa para hornear Hacendado,Paquete 2 kg,0.75
32,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal de ajo Hacendado,Bote 130 g,1.45
33,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal de frutas sabor limón Hacendado,Bote 250 g,1.85
34,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal 60% menos de sodio Hacendado,Bote 250 g,1.85
35,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Preparado para salmón ahumado Hacendado,Bote 750 g,3.3
36,"Aceite, especias y salsas","Aceite, vinagre y sal",Sal y bicarbonato,Sal rosa del Himalaya Hacendado,Bote 250 g,1.8
37,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Bronchales,Garrafa 6 L,1.14
38,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Bronchales,"6 botellas x 1,5 L",1.92
39,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Bronchales,"Botella 1,5 L",0.32
40,Agua y refrescos,Agua,Agua sin gas,Agua mineral mediana Bronchales,6 botellas x 1 L,2.52
41,Agua y refrescos,Agua,Agua sin gas,Agua mineral mediana Bronchales,Botella 1 L,0.42
42,Agua y refrescos,Agua,Agua sin gas,Agua mineral pequeña Bronchales,6 botellas x 500 ml,1.26
43,Agua y refrescos,Agua,Agua sin gas,Agua mineral pequeña Bronchales,Botella 500 ml,0.21
44,Agua y refrescos,Agua,Agua sin gas,Agua mineral pequeña Bronchales tapón infantil,6 botellas x 330 ml,1.92
45,Agua y refrescos,Agua,Agua sin gas,Agua mineral pequeña Bronchales tapón infantil,Botella 330 ml,0.32
46,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Cortes,Garrafa 6 L,0.63
47,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Cortes,Garrafa 8 L,0.73
48,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Cortes,"6 botellas x 1,5 L",1.14
49,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Cortes,"Botella 1,5 L",0.19
50,Agua y refrescos,Agua,Agua sin gas,Agua mineral mediana Cortes,6 botellas x 1 L,1.92
51,Agua y refrescos,Agua,Agua sin gas,Agua mineral mediana Cortes,Botella 1 L,0.32
52,Agua y refrescos,Agua,Agua sin gas,Agua mineral pequeña Cortes,6 botellas x 500 ml,0.96
53,Agua y refrescos,Agua,Agua sin gas,Agua mineral pequeña Cortes,Botella 500 ml,0.16
54,Agua y refrescos,Agua,Agua sin gas,Agua mineral pequeña Cortes tapón infantil,6 botellas x 330 ml,1.08
55,Agua y refrescos,Agua,Agua sin gas,Agua mineral pequeña Cortes tapón infantil,Botella 330 ml,0.18
56,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Bezoya,"6 botellas x 1,5 L",3.96
57,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Bezoya,"Botella 1,5 L",0.66
58,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Nestlé Aquarel,"6 botellas x 1,5 L",3.24
59,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Nestlé Aquarel,"Botella 1,5 L",0.54
60,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Font Vella,"6 botellas x 1,5 L",3.96
61,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Font Vella,"Botella 1,5 L",0.69
62,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Solán de Cabras,"6 botellas x 1,5 L",4.56
63,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Solán de Cabras,"Botella 1,5 L",0.79
64,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Lanjarón,"6 botellas x 1,5 L",3.96
65,Agua y refrescos,Agua,Agua sin gas,Agua mineral grande Lanjarón,"Botella 1,5 L",0.69
66,Agua y refrescos,Agua,Agua sin gas,Agua de coco Chaokoh 100% natural,Brick 1 L,2.6
67,Agua y refrescos,Agua,Agua sin gas,Agua de coco Chaokoh 100% natural,Brick 330 ml,1.45
68,Agua y refrescos,Agua,Agua con gas,Agua mineral con gas grande Vichy Catalan,Botella 1 L,1.29
69,Agua y refrescos,Agua,Agua con gas,Agua mineral con gas pequeña Vichy Catalan,6 botellas x 250 ml,5.42
70,Agua y refrescos,Agua,Agua con gas,Agua mineral con gas grande Cortes,"6 botellas x 1,5 L",1.86
71,Agua y refrescos,Agua,Agua con gas,Agua mineral con gas grande Cortes,"Botella 1,5 L",0.31
72,Agua y refrescos,Agua,Agua con gas,Agua mineral con gas pequeña Cortes,6 botellas x 500 ml,1.14
73,Agua y refrescos,Agua,Agua con gas,Agua mineral con gas pequeña Cortes,Botella 500 ml,0.19
74,Agua y refrescos,Agua,Agua con gas,Agua mineral con gas grande San Pellegrino,6 botellas x 1 L,7.44
75,Agua y refrescos,Agua,Agua con gas,Agua mineral con gas grande San Pellegrino,Botella 1 L,1.24
76,Agua y refrescos,Agua,Agua con gas,Agua de soda con sifón La Casa,"Botella 1,5 L",1.47
77,Agua y refrescos,Agua,Agua con gas,Agua mineral con gas grande Fonter,6 botellas x 1 L,5.94
78,Agua y refrescos,Agua,Agua con gas,Agua mineral con gas grande Fonter,Botella 1 L,0.99
79,Agua y refrescos,Agua,Gaseosa,Gaseosa Hacendado grande,"Botella 1,5 L",0.35
80,Agua y refrescos,Agua,Gaseosa,Gaseosa Hacendado pequeña,6 botellas x 500 ml,1.5
81,Agua y refrescos,Agua,Gaseosa,Gaseosa Hacendado pequeña,Botella 500 ml,0.25
82,Agua y refrescos,Agua,Gaseosa,Gaseosa La Casera grande,"2 botellas x 1,5 L",2.16
83,Agua y refrescos,Agua,Gaseosa,Gaseosa La Casera grande,"Botella 1,5 L",1.0
84,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas manzanilla rellenas de anchoa Hacendado,3 botes x 150 g,2.25
85,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas manzanilla rellenas de anchoa Hacendado,3 botes x 50 g,1.25
86,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas manzanilla rellenas de anchoa Hacendado reducidas en sal,3 botes x 50 g,1.4
87,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas rellenas de anchoa Hacendado,Bote 350 g (150 g escurrido),1.3
88,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas manzanilla Hacendado sin hueso,Tarro 835 g (400 g escurrido),1.85
89,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas manzanilla Hacendado sin hueso,3 paquetes x 75 g,1.3
90,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas gazpacha Hacendado con hueso,Tarro 835 g (500 g escurrido),2.2
91,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas estilo caseras Hacendado aliñadas,Tarro 935 g (550 g escurrido),2.55
92,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas manzanilla Hacendado con hueso,Tarro 835 g (500 g escurrido),1.75
93,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas rellenas de limón Hacendado,Bote 350 g (150 g escurrido),1.4
94,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas manzanilla aliñadas Hacendado sin hueso,Tarro 420 g (200 g escurrido),1.6
95,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas chupadedos Huerta de Barros partidas aliñadas con hueso,Tarro 980 g (600 g escurrido),2.8
96,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas chupadedos Huerta de Barros partidas aliñadas con hueso,Tarro 350 g (185 g escurrido),1.35
97,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas rellenas de jalapeño Hacendado,Bote 350 g (150 g escurrido),1.35
98,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas rellenas de pimiento asado Hacendado,Bote 350 g (150 g escurrido),1.1
99,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas manzanilla sabor anchoa Hacendado con hueso,Tarro 935 g (530 g escurrido),2.7
100,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas manzanilla sabor anchoa Hacendado con hueso,Tarro 430 g (250 g escurrido),1.1
101,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas aliñadas Hacendado sin hueso,Tarro 835 g (400 g escurrido),2.7
102,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas Olives Garcia partida con hueso,Bote 815 g (450 g escurrido),2.75
103,Aperitivos,Aceitunas y encurtidos,Aceitunas verdes,Aceitunas gordales con guindilla El Cabildo sabor anchoa,Tarro 345 g (140 g escurrido),2.2
104,Aperitivos,Aceitunas y encurtidos,Aceitunas negras,Aceitunas negras Hacendado sin hueso,Bote 350 g (150 g escurrido),0.9
105,Aperitivos,Aceitunas y encurtidos,Aceitunas negras,Aceitunas negras Hacendado con hueso,Bote 350 g (200 g escurrido),0.9
106,Aperitivos,Aceitunas y encurtidos,Aceitunas negras,Aceitunas negras naturales de Aragón Hacendado,Tarro 250 g,1.8
107,Aperitivos,Aceitunas y encurtidos,Aceitunas negras,Aceitunas negras Hacendado con hueso,Bote 425 g (220 g escurrido),1.55
108,Aperitivos,Aceitunas y encurtidos,Aceitunas negras,Aceitunas negras Hacendado a rodajas,Tarro 350 g (170 g escurrido),1.3
109,Aperitivos,Aceitunas y encurtidos,Cóctel y banderillas,Banderillas picantes Hacendado,Tarro 345 g (160 g escurrido),1.3
110,Aperitivos,Aceitunas y encurtidos,Cóctel y banderillas,Mix de encurtidos Hacendado,Tarro 670 g (370 g escurrido),1.95
111,Aperitivos,Aceitunas y encurtidos,Cóctel y banderillas,Banderillas gildas Hacendado pinchos de anchoa,Paquete 145 g (95 g escurrido),2.25
112,Aperitivos,Aceitunas y encurtidos,Cóctel y banderillas,Banderillas de anchoa y boquerón Hacendado en aceite de girasol,Paquete 140 g (95 g escurrido),2.25
113,Aperitivos,Aceitunas y encurtidos,Cóctel y banderillas,Banderillas dulces Hacendado en vinagre,Tarro 345 g (160 g escurrido),1.3
114,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Pepinillos pequeños Hacendado,Tarro 425 g (250 g escurrido),1.5
115,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Altramuces Hacendado,Tarro 690 g (440 g escurrido),1.35
116,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Alcaparras Hacendado en vinagre,Tarro 135 g (80 g escurrido),1.0
117,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Pepinillos en vinagre Hacendado,Tarro 670 g (370 g escurrido),1.75
118,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Pepinillos agridulces Hacendado,Tarro 670 g (370 g escurrido),1.35
119,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Cebolla roja Corbí en vinagre,Bote 920 g (500 g escurrido),2.4
120,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Pepinillos agridulces Hacendado,Tarro 425 g (250 g escurrido),1.45
121,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Picadillo de variantes Hacendado,Tarro 425 g (260 g escurrido),1.2
122,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Pepinillos laminados agridulces Hacendado,Tarro 530 g (290 g escurrido),1.6
123,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Cebollitas Hacendado,Tarro 350 g (190 g escurrido),1.2
124,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Ajos aliñados Hacendado,Tarro 345 g (235 g escurrido),1.95
125,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Alcaparrones Hacendado en vinagre,Tarro 360 g (180 g escurrido),2.0
126,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Berenjenas de Almagro Antonio aliño suave,Bote 800 g (350 g escurrido),2.65
127,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Jalapeños picantes Hacendado en vinagre,Tarro 135 g (60 g escurrido),1.55
128,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Mix de pepinillos y cebollitas Hacendado,Tarro 670 g (370 g escurrido),1.5
129,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Guindillas picantes El Cabildo en vinagre,Tarro 320 g (120 g escurrido),1.2
130,Aperitivos,Aceitunas y encurtidos,Pepinillos y otros encurtidos,Piparra Hacendado,Tarro 285 g (125 g escurrido),2.25
131,"Arroz, legumbres y pasta",Arroz,Arroz,Arroz redondo Hacendado,Paquete 1 kg,1.1
132,"Arroz, legumbres y pasta",Arroz,Arroz,Arroz redondo La Fallera,Paquete 1 kg,1.47
133,"Arroz, legumbres y pasta",Arroz,Arroz,Arroz cocido basmati Sabroz,2 vasitos x 125 g,1.2
134,"Arroz, legumbres y pasta",Arroz,Arroz,Arroz cocido integral Sabroz,2 vasitos x 125 g,1.15
135,"Arroz, legumbres y pasta",Arroz,Arroz,Arroz bomba Hacendado,Paquete 1 kg,2.6
136,"Arroz, legumbres y pasta",Arroz,Arroz,Arroz cocido redondo Sabroz,2 vasitos x 125 g,1.15
137,"Arroz, legumbres y pasta",Arroz,Arroz,Quinoa cocida blanca y roja Sabroz,2 vasitos x 125 g,1.5
138,"Arroz, legumbres y pasta",Arroz,Arroz,Arroz largo Hacendado,Paquete 1 kg,1.15
139,"Arroz, legumbres y pasta",Arroz,Arroz,Arroz redondo J Sendra Hacendado,Paquete 1 kg,1.3
140,"Arroz, legumbres y pasta",Arroz,Arroz,Arroz basmati aromático Hacendado,Paquete 1 kg,2.5
141,"Arroz, legumbres y pasta",Arroz,Arroz,Cous cous mediano Bia,Caja 1 kg,1.9
142,"Arroz, legumbres y pasta",Arroz,Arroz,Arroz integral redondo Hacendado,Paquete 1 kg,1.5
143,"Arroz, legumbres y pasta",Arroz,Arroz,Quinoa Hacendado,Paquete 500 g,2.5
144,"Arroz, legumbres y pasta",Arroz,Arroz,Arroz vaporizado Hacendado,Paquete 1 kg,1.45
145,"Arroz, legumbres y pasta",Arroz,Arroz,Arroz redondo Sabroz,Paquete 1 kg,1.89
146,"Arroz, legumbres y pasta",Arroz,Arroz,Arroz Jazmín aromático Hacendado,Paquete 1 kg,2.2
147,"Arroz, legumbres y pasta",Arroz,Arroz,Noodles de arroz Acecook,Paquete 200 g,1.5
148,"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Azúcar,Azúcar blanco,Paquete 1 kg,1.35
149,"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Azúcar,Azúcar blanco en sobres Acor,Caja 50 sticks (350 g),1.15
150,"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Azúcar,Azúcar moreno de caña Acor,Caja 1 kg,1.6
151,"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Azúcar,Azúcar moreno de caña integral en sobres Acor,Caja 50 sobres (350 g),1.3
152,"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Azúcar,Panela azúcar moreno de caña integral Hacendado,Paquete 500 g,1.8
153,"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Azúcar,Azúcar Mascavado Hacendado,Paquete 500 g,1.05
154,"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Azúcar,Azúcar glas Sidul,Bote 250 g,1.4
155,"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante y otros,Edulcorante líquido sacarina Hacendado,Bote 150 ml,0.85
156,"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante y otros,Edulcorante en pastillas sacarina Hacendado,Bote 850 pastillas (52 g),1.15
157,"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante y otros,Edulcorante en sobres sacarina Hacendado,Caja 60 sobres (60 g),1.2
158,"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante y otros,Sirope de agave,Bote 350 g,2.5
159,"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante y otros,Edulcorante líquido stevia Hacendado,Bote 150 ml,2.1
160,"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante y otros,Edulcorante granulado stevia Hacendado,Bote 200 g,3.2
161,"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante y otros,Edulcorante en pastillas stevia Hacendado,Bote 175 pastillas (9 g),1.85
162,"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante y otros,Edulcorante en sobres stevia Hacendado,Caja 54 sobres (54 g),2.0
163,"Azúcar, caramelos y chocolate",Azúcar y edulcorante,Edulcorante y otros,Edulcorante Eritritol y Sucralosa Hacendado,Bote 200 g,3.3
164,Bebé,Alimentación infantil,Tarritos salados,Papilla crema de bechamel con lenguado Hero baby +8 meses,Tarrito 235 g,1.3
165,Bebé,Alimentación infantil,Tarritos salados,Papilla verduritas con merluza Hero baby +6 meses,2 tarritos x 235 g,2.6
166,Bebé,Alimentación infantil,Tarritos salados,Papilla verduritas con pollo y ternera Hero baby +6 meses,Tarrito 235 g,1.3
167,Bebé,Alimentación infantil,Tarritos salados,Papilla arroz con pollo Hero baby +6 meses,2 tarritos x 235 g,2.6
168,Bebé,Alimentación infantil,Tarritos salados,Papilla verduritas con pollo Hero baby buenas noches +6 meses,2 tarritos x 190 g,2.2
169,Bebé,Alimentación infantil,Tarritos salados,Papilla verduritas con delicias de pavo Hero baby natur +6 meses,Tarrito 235 g,1.3
170,Bebé,Alimentación infantil,Tarritos salados,Papilla zanahorias baby con ternera Hero baby +6 meses,Tarrito 235 g,1.3
171,Bebé,Alimentación infantil,Tarritos salados,Papilla zanahorias con arroz en caldito de pollo Hero baby +6 meses,Tarrito 235 g,1.3
172,Bebé,Alimentación infantil,Tarritos salados,Papilla lentejas con verduritas Hero baby recetas caseras +8 meses,2 tarritos x 190 g,2.2
173,Bebé,Alimentación infantil,Tarritos salados,Papilla menestra de cordero a la crema Hero baby recetas caseras +6 meses,2 tarritos x 190 g,2.2
174,Bebé,Alimentación infantil,Tarritos de fruta,Papilla fresa y plátano +8 meses Hacendado,1 ud. (120 g),0.9
175,Bebé,Alimentación infantil,Tarritos de fruta,Papilla fruta variada +6 meses Hacendado,1 ud. (120 g),0.9
176,Bebé,Alimentación infantil,Tarritos de fruta,Papilla manzana y plátano +6 meses Hacendado,1 ud. (120 g),0.9
177,Bebé,Alimentación infantil,Tarritos de fruta,Papilla fruta variada +4 meses Hacendado,4 tarritos x 130 g,2.3
178,Bebé,Alimentación infantil,Tarritos de fruta,"Papilla plátano, naranja y galleta +6 meses Hacendado",4 tarritos x 130 g,2.3
179,Bebé,Alimentación infantil,Tarritos de fruta,Papilla cuatro frutas con avena +8 meses Hacendado,4 tarritos x 130 g,2.5
180,Bebé,Alimentación infantil,Tarritos de fruta,"Papilla plátano, mandarina y pera +4 meses Hacendado",4 tarritos x 130 g,2.3
181,Bebé,Alimentación infantil,Tarritos de fruta,Papilla compota de manzana +4 meses Hacendado,2 tarritos x 130 g,1.3
182,Bebé,Alimentación infantil,Tarritos de fruta,Papilla cuatro frutas con yogur +8 meses Hacendado,4 tarritos x 130 g,2.5
183,Bebé,Alimentación infantil,Tarritos de fruta,Papilla pera y manzana +4 meses Hacendado,4 tarritos x 130 g,2.3
184,Bebé,Alimentación infantil,Tarritos de fruta,Papilla manzana y mango +6 meses Hacendado,1 ud. (120 g),0.9
185,Bebé,Alimentación infantil,Tarritos de fruta,"Papilla plátano, fresa, arándanos y avena +8 meses Hacendado",1 ud. (120 g),0.9
186,Bebé,Alimentación infantil,Tarritos de fruta,Papilla frutas con queso fresco + 8 meses Hacendado,2 tarritos x 130 g,2.3
187,Bebé,Alimentación infantil,Yogures y postres,Yogur líquido infantil de fresa y plátano Go-Lácteo +8 meses,Caja 4 ud. (360 g),2.5
188,Bebé,Alimentación infantil,Yogures y postres,Yogur líquido infantil natural Go-Lácteo +6 meses,Caja 4 ud. (360 g),2.5
189,Bebé,Alimentación infantil,Yogures y postres,Yogur líquido infantil de pera Go-Lácteo +6 meses,Caja 4 ud. (360 g),2.5
190,Bebé,Alimentación infantil,Yogures y postres,Yogur líquido infantil con cereales y miel Go-Lácteo +8 meses,Caja 4 ud. (360 g),2.5
191,Bebé,Alimentación infantil,Yogures y postres,Postre lácteo infantil de plátano Yogolino +6 meses,4 ud. x 100 g,2.75
192,Bebé,Alimentación infantil,Yogures y postres,Natillas infantiles con galletas Hacendado +6 meses,2 ud. x 130 g,1.6
193,Bebé,Alimentación infantil,Yogures y postres,Yogur infantil cremoso de fresa Go-Lácteo +8 meses,4 ud. x 110 g,2.5
194,Bebé,Alimentación infantil,Yogures y postres,Yogur infantil cremoso de manzana y pera Go-Lácteo +8 meses,4 ud. x 110 g,2.5
195,Bebé,Alimentación infantil,Leche,Preparado lácteo Nativa 3 crecimiento sabor a cereales,6 bricks x 1 L,9.6
196,Bebé,Alimentación infantil,Leche,Preparado lácteo Nativa 3 crecimiento sabor a cereales Nestlé,Brick 1 L,1.6
197,Bebé,Alimentación infantil,Leche,Preparado lácteo crecimiento Peques 3 Puleva,6 bricks x 1 L,10.2
198,Bebé,Alimentación infantil,Leche,Preparado lácteo crecimiento Peques 3 Puleva,Brick 1 L,1.7
199,Bebé,Alimentación infantil,Leche,Preparado lácteo con cereales crecimiento Peques 3 Puleva,6 bricks x 1 L,10.2
200,Bebé,Alimentación infantil,Leche,Preparado lácteo con cereales crecimiento Peques 3 Puleva,Brick 1 L,1.7
201,Bebé,Alimentación infantil,Leche,Preparado lácteo crecimiento +1 año Hacendado,6 bricks x 1 L,6.0
202,Bebé,Alimentación infantil,Leche,Preparado lácteo crecimiento +1 año Hacendado,Brick 1 L,1.0
203,Bebé,Alimentación infantil,Leche,Preparado lácteo crecimiento +1 año Hacendado,6 mini bricks x 200 ml,1.55
204,Bebé,Alimentación infantil,Leche,Preparado lácteo cereales al cacao Peques 3 Puleva,3 mini bricks x 200 ml,1.7
205,Bebé,Alimentación infantil,Leche,Preparado lácteo con cacao y cereales crecimiento Hacendado +1 año,6 mini bricks x 200 ml,1.75
206,Bebé,Alimentación infantil,Leche,Preparado lácteo con cereales crecimiento Hacendado +1 año,6 bricks x 1 L,6.6
207,Bebé,Alimentación infantil,Leche,Preparado lácteo con cereales crecimiento Hacendado +1 año,Brick 1 L,1.1
208,Bebé,Alimentación infantil,Leche,Leche de continuación Peques 2 Puleva,6 bricks x 1 L,10.75
209,Bebé,Alimentación infantil,Leche,Leche de continuación Peques 2 Puleva,Brick 1 L,1.8
210,Bebé,Alimentación infantil,Leche en polvo,Leche para lactantes en polvo 1 Nidina Nestlé,Bote 800 g,14.95
211,Bebé,Alimentación infantil,Leche en polvo,Leche de continuación en polvo 2 Nidina Nestlé,Bote 800 g,14.95
212,Bebé,Alimentación infantil,Leche en polvo,Leche crecimiento en polvo 3 Nidina Nestlé,Bote 800 g,14.95
213,Bebé,Alimentación infantil,Leche en polvo,Leche para lactantes en polvo 1 Hero baby,Bote 800 g,8.85
